No.,棒の長さ (mm),切断パターン,端材 (mm)
1,4000,415 + 3585,0
2,4000,415 + 3585,0
3,4000,415 + 3585,0
4,4000,415 + 3585,0
5,4000,415 + 3585,0
6,4000,415 + 3585,0
7,4000,415 + 3585,0
8,4000,415 + 3585,0
9,4000,1310 + 2690,0
10,4000,1310 + 2690,0
11,4000,1310 + 2690,0
12,4000,1310 + 2690,0
13,4000,1310 + 2690,0
14,5500,870 + 1080 + 3550,0
15,5500,870 + 1080 + 3550,0
16,5500,870 + 1080 + 3550,0
17,5500,870 + 1080 + 3550,0
18,5500,870 + 1080 + 3550,0
19,5500,870 + 1080 + 3550,0
20,5500,870 + 1080 + 3550,0
21,5500,870 + 1080 + 3550,0
22,5500,870 + 1080 + 3550,0
23,5500,870 + 1080 + 3550,0
24,6000,1730 + 1730 + 2540,0
25,6000,1730 + 1730 + 2540,0
26,6000,1730 + 1730 + 2540,0
27,6000,1730 + 1730 + 2540,0
28,6000,1730 + 1730 + 2540,0
29,6000,1730 + 1730 + 2540,0
30,6000,1730 + 1730 + 2540,0
31,6000,1730 + 1730 + 2540,0
32,6000,790 + 1700 + 3510,0
33,6000,790 + 1700 + 3510,0
34,6000,790 + 1700 + 3510,0
35,6000,820 + 2590 + 2590,0
36,6000,820 + 2590 + 2590,0
37,6000,820 + 2590 + 2590,0
38,6000,820 + 2590 + 2590,0
39,6000,820 + 2590 + 2590,0
40,6000,820 + 2590 + 2590,0
41,6000,820 + 2590 + 2590,0
42,6000,1017 + 1472 + 3510,1
43,6000,820 + 1715 + 1730 + 1730,5
44,6000,820 + 1715 + 1730 + 1730,5
45,4500,945 + 3550,5
46,4500,945 + 3550,5
47,4500,945 + 3550,5
48,4500,945 + 3550,5
49,4500,4495,5
50,4500,4495,5
51,4500,4495,5
52,4500,4495,5
53,4500,4495,5
54,4500,4495,5
55,3500,1730 + 1765,5
56,3500,1730 + 1765,5
57,3500,1730 + 1765,5
58,3500,1730 + 1765,5
59,3500,1730 + 1765,5
60,3500,1730 + 1765,5
61,3500,1730 + 1765,5
62,3500,1730 + 1765,5
63,3500,1730 + 1765,5
64,3500,1730 + 1765,5
65,3500,1730 + 1765,5
66,3500,1730 + 1765,5
67,3500,1730 + 1765,5
68,3500,1730 + 1765,5
69,3500,855 + 2640,5
70,3500,855 + 2640,5
71,3500,855 + 2640,5
72,3500,855 + 2640,5
73,3500,855 + 2640,5
74,3500,855 + 2640,5
75,3500,855 + 2640,5
76,3500,855 + 2640,5
77,3500,855 + 2640,5
78,3500,855 + 2640,5
79,3500,855 + 2640,5
80,3500,855 + 2640,5
81,3500,855 + 2640,5
82,3500,855 + 2640,5
83,3500,855 + 2640,5
