No.,棒の長さ (mm),切断パターン,端材 (mm)
1,4000,400 + 805 + 855 + 855 + 1085,0
2,5500,310 + 400 + 400 + 1765 + 2625,0
3,7500,310 + 400 + 400 + 400 + 400 + 400 + 855 + 855 + 855 + 2625,0
4,7500,325 + 2675 + 4495,5
5,4500,4495,5
6,6000,805 + 855 + 855 + 855 + 855 + 1765,10
7,7500,2220 + 2625 + 2625,30
8,7500,1235 + 1765 + 1765 + 2675,60
9,7500,1235 + 1765 + 1765 + 2675,60
10,7500,855 + 855 + 855 + 855 + 1310 + 2675,95
11,7500,855 + 1195 + 2675 + 2675,100
12,7500,325 + 855 + 855 + 2675 + 2675,115
