Index,Rod_length(mm),Cutting_pattern,Loss(mm),Num
1,4500,4495,5,2
2,4500,"2675,1765",60,2
3,5500,"2675,2675",150,1
4,7500,"2675,2625,1765,400",35,2
5,7500,"2675,2625,855,855,400",90,2
