Index,Rod_length(mm),Cutting_pattern,Loss(mm),Num
1,4000,"2675,1310",15,1
2,4500,4495,5,2
3,4500,"3585,855",60,2
4,4500,"2675,1765",60,1
5,5500,"3585,1765",150,1
6,5500,"2675,2675",150,2
7,6000,"3585,1080,1080",255,2
